dbname:muraro	round:9999	alpha:1	beta:0.1	acc: 0.76343 	ari: 0.64484 	nmi: 0.77335
dbname:muraro	round:9999	alpha:1	beta:0.01	acc: 0.7639 	ari: 0.64515 	nmi: 0.77343
dbname:muraro	round:9999	alpha:1	beta:0.001	acc: 0.7639 	ari: 0.64515 	nmi: 0.77343
dbname:muraro	round:9999	alpha:1	beta:0	acc: 0.7639 	ari: 0.64515 	nmi: 0.77343
dbname:muraro	round:9999	alpha:0	beta:1	acc: 0.63195 	ari: 0.45998 	nmi: 0.58609
dbname:muraro	round:9999	alpha:0.001	beta:1	acc: 0.63572 	ari: 0.49173 	nmi: 0.61501
dbname:muraro	round:9999	alpha:0.01	beta:1	acc: 0.72714 	ari: 0.58477 	nmi: 0.71482
dbname:muraro	round:9999	alpha:0.1	beta:1	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:1	beta:1	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:1	beta:0.1	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:1	beta:0.01	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:1	beta:0.001	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:1	beta:0	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:10000	alpha:0	beta:1	acc: 0.92319 	ari: 0.91867 	nmi: 0.8819
dbname:muraro	round:10000	alpha:0.001	beta:1	acc: 0.92319 	ari: 0.91949 	nmi: 0.88118
dbname:muraro	round:10000	alpha:0.01	beta:1	acc: 0.76673 	ari: 0.68452 	nmi: 0.79517
dbname:muraro	round:10000	alpha:0.1	beta:1	acc: 0.78652 	ari: 0.69623 	nmi: 0.79525
dbname:muraro	round:10000	alpha:1	beta:1	acc: 0.78605 	ari: 0.69516 	nmi: 0.79446
dbname:muraro	round:10000	alpha:1	beta:0.1	acc: 0.78652 	ari: 0.69559 	nmi: 0.79454
dbname:muraro	round:10000	alpha:1	beta:0.01	acc: 0.78652 	ari: 0.69559 	nmi: 0.79454
dbname:muraro	round:10000	alpha:1	beta:0.001	acc: 0.78652 	ari: 0.69559 	nmi: 0.79454
dbname:muraro	round:10000	alpha:1	beta:0	acc: 0.63572 	ari: 0.48462 	nmi: 0.69821
dbname:muraro	round:10000	alpha:0	beta:1	acc: 0.92271 	ari: 0.91742 	nmi: 0.8799
